标题,参考价,京东价,京东链接,产品图片,产品参数,适用类型,CPU系列,CPU主频,最高睿频,三级缓存,插槽类型,核心数量,线程数,制作工艺,热设计功耗(TDP),动态加速频率,封装大小
AMD 速龙 X4 860K（盒）,199,,,https://2a.zol-img.com.cn/product/221_320x240/784/ceoWP4NXuaPY.jpg,"适用类型：台式机
CPU系列：速龙 X4
CPU主频：3.7GHz
动态加速频率：4GHz
插槽类型：Socket FM2+
三级缓存：暂无数据
核心数量：四核心
线程数：四线程",台式机,速龙 X4,3.7GHz,,暂无数据,Socket FM2+,四核心,四线程,,,4GHz,
AMD A6-7400K（盒）,209,,,https://2e.zol-img.com.cn/product/223_320x240/564/cePCeDVDft0s2.jpg,"适用类型：台式机
CPU系列：APU A6
CPU主频：3.5GHz
动态加速频率：3.9GHz
插槽类型：Socket FM2+
三级缓存：暂无数据
核心数量：双核心
热设计功耗(TDP)：65W",台式机,APU A6,3.5GHz,,暂无数据,Socket FM2+,双核心,,,65W,3.9GHz,
AMD APU系列 A6-7480,210,,,https://2e.zol-img.com.cn/product/196_320x240/484/ceYVPJ3H30tac.jpg,"适用类型：台式机
CPU系列：APU A6
CPU主频：3.5GHz
动态加速频率：3.8GHz
插槽类型：Socket FM2+
三级缓存：暂无数据
核心数量：双核心
热设计功耗(TDP)：65W",台式机,APU A6,3.5GHz,,暂无数据,Socket FM2+,双核心,,,65W,3.8GHz,
AMD 速龙II X4 870K（盒）,278,,,https://2a.zol-img.com.cn/product/223_320x240/476/ceVQhnI3LxSGc.jpg,"适用类型：台式机
CPU系列：速龙 X4
CPU主频：3.9GHz
动态加速频率：4.1GHz
插槽类型：Socket FM2+
三级缓存：暂无数据
核心数量：四核心
热设计功耗(TDP)：95W",台式机,速龙 X4,3.9GHz,,暂无数据,Socket FM2+,四核心,,,95W,4.1GHz,
Intel 赛扬 G5900,289,,,https://2a.zol-img.com.cn/product/222_320x240/768/ceQierYz5cwj6.jpg,"适用类型：台式机
CPU系列：赛扬 G系列
CPU主频：3.4GHz
动态加速频率：暂无数据
三级缓存：2MB
插槽类型：LGA 1200
核心数量：双核心
线程数：双线程",台式机,赛扬 G系列,3.4GHz,,2MB,LGA 1200,双核心,双线程,,,暂无数据,
Intel 赛扬 G5905,290,,,https://2a.zol-img.com.cn/product/222_320x240/768/ceQierYz5cwj6.jpg,"适用类型：台式机
CPU系列：赛扬 G系列
CPU主频：3.5GHz
动态加速频率：暂无数据
三级缓存：4MB
插槽类型：LGA 1200
核心数量：双核心
线程数：双线程",台式机,赛扬 G系列,3.5GHz,,4MB,LGA 1200,双核心,双线程,,,暂无数据,
AMD A10-9700,329,,,https://2b.zol-img.com.cn/product/223_320x240/219/ce0LQbTLvEMfw.jpg,"适用类型：台式机
CPU系列：APU A10
CPU主频：3.5GHz
动态加速频率：3.8GHz
插槽类型：Socket AM4
三级缓存：暂无数据
核心数量：四核心
热设计功耗(TDP)：65W",台式机,APU A10,3.5GHz,,暂无数据,Socket AM4,四核心,,,65W,3.8GHz,
Intel 赛扬 G4930,339,,,https://2f.zol-img.com.cn/product/222_320x240/767/ceZgq4A7laNA2.jpg,"适用类型：台式机
CPU系列：赛扬 G系列
CPU主频：3.2GHz
动态加速频率：暂无数据
三级缓存：2MB
封装大小：37.5×37.5mm
核心数量：双核心
线程数：双线程",台式机,赛扬 G系列,3.2GHz,,2MB,,双核心,双线程,,,暂无数据,37.5×37.5mm
AMD APU系列 A8-7680,369,,,https://2d.zol-img.com.cn/product/195_320x240/865/ceWuuS82ul6.jpg,"适用类型：台式机
CPU系列：APU A8
CPU主频：3.5GHz
动态加速频率：3.8GHz
插槽类型：Socket FM2+
三级缓存：暂无数据
核心数量：四核心
热设计功耗(TDP)：45W",台式机,APU A8,3.5GHz,,暂无数据,Socket FM2+,四核心,,,45W,3.8GHz,
Intel 赛扬 G5925,389,,,https://2a.zol-img.com.cn/product/222_320x240/768/ceQierYz5cwj6.jpg,"适用类型：台式机
CPU系列：赛扬 G系列
CPU主频：3.6GHz
动态加速频率：暂无数据
三级缓存：4MB
插槽类型：LGA 1200
核心数量：双核心
线程数：双线程",台式机,赛扬 G系列,3.6GHz,,4MB,LGA 1200,双核心,双线程,,,暂无数据,
