标题,参考价,京东价,京东链接,产品图片,产品参数,适用类型,内存容量,内存类型,内存主频
金士顿骇客神条FURY 8GB DDR3 1866,439,145.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10022361392586.html,https://2f.zol-img.com.cn/product/225_320x240/791/ceXI4IU1Ne5qg.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR3
内存主频：1866MHz",台式机,暂无数据,DDR3,1866MHz
金百达银爵 16GB（2×8GB）DDR4 3200,359,149.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10071846996568.html,https://2e.zol-img.com.cn/product/225_320x240/910/ceyKmrSYcsQiI.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",台式机,暂无数据,DDR4,3200MHz
金士顿4GB DDR4 2666（KVR21N15S8/4）,155,119.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100007030913.html,https://2e.zol-img.com.cn/product/226_320x240/134/cePbkICb7l0l.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",台式机,暂无数据,DDR4,2666MHz
光威悍将 16GB DDR4 2666,439,139.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100003386091.html,https://2f.zol-img.com.cn/product/226_320x240/805/ceKEE2lF1Tzc.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",台式机,暂无数据,DDR4,2666MHz
光威天策 8GB DDR4 3200,209,93.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10038260579988.html,https://2f.zol-img.com.cn/product/222_320x240/307/ceQTk47PvEr2.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",台式机,暂无数据,DDR4,3200MHz
威刚XPG Z1 8GB DDR4 3200,295,95.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10035006026824.html,https://2b.zol-img.com.cn/product/222_320x240/165/ceY5ljNqitfk2.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",台式机,暂无数据,DDR4,3200MHz
光威战将 8GB DDR4 3200（笔记本）,179,77.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10030887644246.html,https://2c.zol-img.com.cn/product/218_320x240/978/ceHjqKxrxgxRI.jpg,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",笔记本,暂无数据,DDR4,3200MHz
英睿达16GB DDR5 5600 笔记本内存条,300,299.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100051724951.html,https://2a.zol-img.com.cn/product/242_320x240/464/cevgRZ7b4uMuQ.jpg,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR5
内存主频：5600MHz",笔记本,暂无数据,DDR5,5600MHz
金士顿FURY Impact 8GB DDR4 3200（HX432S20IB2/8）,295,139.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100014718392.html,https://2d.zol-img.com.cn/product/226_320x240/565/cezCh3wdHbR1Q.jpg,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",笔记本,暂无数据,DDR4,3200MHz
金百达银爵 8G DDR4 3600,145,99.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100020805899.html,https://2a.zol-img.com.cn/product/229_320x240/618/ceerL6XyZwji.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3600MHz",台式机,暂无数据,DDR4,3600MHz
威刚万紫千红 8GB DDR4 3200,299,109.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100014038844.html,https://2b.zol-img.com.cn/product/225_320x240/989/ceiNh36qqKLBE.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",台式机,暂无数据,DDR4,3200MHz
海盗船复仇者LPX 8GB DDR4 3200,260,149.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10037590070869.html,https://2b.zol-img.com.cn/product/220_320x240/545/ceaIx0myG8QqY.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",台式机,暂无数据,DDR4,3200MHz
威刚万紫千红 4GB DDR4 2666,169,119.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/57495731453.html,https://2a.zol-img.com.cn/product/213_320x240/284/ce99aJ01CJlyY.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",台式机,暂无数据,DDR4,2666MHz
英睿达16GB DDR4 3200（CT16G4SFD832A）,569,194.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/68238281612.html,https://2a.zol-img.com.cn/product/226_320x240/180/cejC17UthuY3s.jpg,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",笔记本,暂无数据,DDR4,3200MHz
金百达8GB DDR3 1600,179,55.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/7035948.html,https://2b.zol-img.com.cn/product/198_320x240/861/cemxhIiSIG5cU.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR3
内存主频：1600MHz",台式机,暂无数据,DDR3,1600MHz
金士顿FURY Impact 16GB DDR4 2666（HX426S15IB2/16）,529,449.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/8173850.html,https://2b.zol-img.com.cn/product/222_320x240/549/ceCJqRHvX3s7g.jpg,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",笔记本,暂无数据,DDR4,2666MHz
英睿达Ballistix铂胜游戏 16GB（2×8GB）DDR4 3200（BL2K8G32C16U4B）,539,218.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/67533585160.html,https://2e.zol-img.com.cn/product/221_320x240/790/cehO0WE2xX7vg.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",台式机,暂无数据,DDR4,3200MHz
芝奇幻锋戟 DDR5 32GB（2×16GB）DDR5 6400 黯雾黑,789,848.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100032829280.html,https://2a.zol-img.com.cn/product/259_320x240/114/ceU8yDrcvbZtk.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6400MHz",台式机,暂无数据,DDR5,6400MHz
芝奇幻锋戟 DDR5 32GB（2×16GB）DDR5 6400 科技银,789,848.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100018460083.html,https://2b.zol-img.com.cn/product/259_320x240/109/ces5RBdPHXVok.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6400MHz",台式机,暂无数据,DDR5,6400MHz
芝奇幻锋戟 DDR5 64GB（2×32GB）DDR5 6400 黯雾黑,1794,1793.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100045209628.html,https://2a.zol-img.com.cn/product/259_320x240/114/ceU8yDrcvbZtk.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6400MHz",台式机,暂无数据,DDR5,6400MHz
芝奇幻锋戟 DDR5 64GB（2×32GB）DDR5 6400 科技银,1794,1798.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100044083051.html,https://2b.zol-img.com.cn/product/259_320x240/109/ces5RBdPHXVok.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6400MHz",台式机,暂无数据,DDR5,6400MHz
芝奇幻锋戟 DDR5 32GB（2×16GB）DDR5 6800 黯雾黑,949,1048.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100044083049.html,https://2a.zol-img.com.cn/product/259_320x240/114/ceU8yDrcvbZtk.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6800MHz",台式机,暂无数据,DDR5,6800MHz
芝奇幻锋戟 DDR5 32GB（2×16GB）DDR5 6800 科技银,949,1048.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100044083035.html,https://2b.zol-img.com.cn/product/259_320x240/109/ces5RBdPHXVok.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6800MHz",台式机,暂无数据,DDR5,6800MHz
芝奇幻锋戟 DDR5 32GB（2×16GB）DDR5 7200 黯雾黑,1099,1098.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100044462485.html,https://2a.zol-img.com.cn/product/259_320x240/114/ceU8yDrcvbZtk.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：7200MHz",台式机,暂无数据,DDR5,7200MHz
芝奇幻锋戟 DDR5 32GB（2×16GB）DDR5 7200 科技银,1088,1098.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100044462477.html,https://2b.zol-img.com.cn/product/259_320x240/109/ces5RBdPHXVok.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：7200MHz",台式机,暂无数据,DDR5,7200MHz
芝奇幻锋戟 DDR5 32GB（2×16GB）DDR5 7600 黯雾黑,3999,1387.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100044462457.html,https://2a.zol-img.com.cn/product/259_320x240/114/ceU8yDrcvbZtk.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：7600MHz",台式机,暂无数据,DDR5,7600MHz
芝奇幻锋戟 DDR5 32GB（2×16GB）DDR5 7600 科技银,1799,1349.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100044462453.html,https://2b.zol-img.com.cn/product/259_320x240/109/ces5RBdPHXVok.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：7600MHz",台式机,暂无数据,DDR5,7600MHz
