标题,参考价,京东价,京东链接,产品图片,产品参数,存储容量,硬盘尺寸,接口类型,缓存,读取速度,写入速度,平均寻道时间,平均无故障时间
幻存V2400（128GB）,75,75.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10121015180058.html,https://2b.zol-img.com.cn/product/271_320x240/527/cedYvClGFXYUs.png,"存储容量：128GB
硬盘尺寸：2242
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：1000MB/s
写入速度：900MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",128GB,2242,M.2 PCIe接口,无缓存,1000MB/s,900MB/s,暂无数据,暂无数据
金杉NGFF-64GB,76,76.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10091138128382.html,https://2e.zol-img.com.cn/product/271_320x240/60/ce2qHd4ZDYz8k.png,"存储容量：64GB
硬盘尺寸：2280
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：400MB/s
写入速度：350MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",64GB,2280,M.2 PCIe接口,无缓存,400MB/s,350MB/s,暂无数据,暂无数据
金杉NGFF-128GB,77,77.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10091138128383.html,https://2e.zol-img.com.cn/product/271_320x240/60/ce2qHd4ZDYz8k.png,"存储容量：128GB
硬盘尺寸：2280
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：440MB/s
写入速度：510MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",128GB,2280,M.2 PCIe接口,无缓存,440MB/s,510MB/s,暂无数据,暂无数据
悉硕S500 128GB,79,89.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10078821024005.html,https://2b.zol-img.com.cn/product/259_320x240/995/ced7mFXNqzPhk.png,"存储容量：128GB
硬盘尺寸：M.2 2280 接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：2100MB/s
写入速度：1600MB/s
平均无故障时间：150万小时
平均寻道时间：暂无数据",128GB,M.2 2280,M.2 PCIe接口,无缓存,2100MB/s,1600MB/s,暂无数据,150万小时
Colorful CF500 镭风（120GB）,79,65.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100028397263.html,https://2c.zol-img.com.cn/product/230_320x240/710/ceKsKbbjQiBKE.png,"存储容量：120GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：480MB/s
写入速度：320MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",120GB,暂无数据,M.2 PCIe接口,暂无数据,480MB/s,320MB/s,暂无数据,暂无数据
悉硕S600 512GB,79,,,https://2e.zol-img.com.cn/product/259_320x240/452/ce1HNLjJsklRo.png,"存储容量：512GB
硬盘尺寸：M.2 2280
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：3000MB/s
写入速度：2000MB/s
平均无故障时间：150万小时
平均寻道时间：暂无数据",512GB,M.2 2280,M.2 PCIe接口,无缓存,3000MB/s,2000MB/s,暂无数据,150万小时
幻存V3500（128GB）,79,79.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10111206880197.html,https://2a.zol-img.com.cn/product/271_320x240/174/ce4a91k5FX11A.png,"存储容量：128GB
硬盘尺寸：2280
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：1800MB/s
写入速度：700MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",128GB,2280,M.2 PCIe接口,无缓存,1800MB/s,700MB/s,暂无数据,暂无数据
Colorful CF300 镭风（120GB）,84,75.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10056594930985.html,https://2d.zol-img.com.cn/product/222_320x240/477/cessWmdNLX8A.jpg,"存储容量：120GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：450MB/s
写入速度：400MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",120GB,暂无数据,M.2 PCIe接口,暂无数据,450MB/s,400MB/s,暂无数据,暂无数据
金储星P322（128GB）,84,84.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10108422581267.html,https://2a.zol-img.com.cn/product/271_320x240/678/cektGTR763xUU.jpg,"存储容量：128GB
硬盘尺寸：2242
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：500MB/s
写入速度：1100MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",128GB,2242,M.2 PCIe接口,无缓存,500MB/s,1100MB/s,暂无数据,暂无数据
固德佳PC210（128GB）,89,89.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10100695114674.html,https://2c.zol-img.com.cn/product/271_320x240/316/ceo75xyC8Zv2Y.jpg,"存储容量：128GB
硬盘尺寸：2242
接口类型：M.2 PCIe接口
缓存：256MB
读取速度：2200MB/s
写入速度：800MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",128GB,2242,M.2 PCIe接口,256MB,2200MB/s,800MB/s,暂无数据,暂无数据
