product_id,title,reference_price,current_price,jd_url,image_url,specs,shop_name,comment_count,crawl_time
1745735428,酷冷至尊ML360 SUB-ZERO 半导体水冷,3299.0,,,https://2b.zol-img.com.cn/product/221_320x240/77/ceqmJCkjmdjo.jpg,"散热器类型	CPU散热器
散热方式	水冷
适用范围	Intel：LGA 1200
发光方式	无光
电源参数	12V
输入功率	250W
使用寿命	198000小时
产品尺寸	119.6×394.0×27.2mm
其它特点	INTEL CRYO散热技术
风扇数量	3个
风扇尺寸	120×120×25mm
最高转数	1900RPM
转数描述	±10%RPM
最大风量	59CFM
风压	2mmaq
噪音	8-26dB",,,2025-04-27 14:30:28
1745735476,DELL（戴尔）DELL 标准,188.0,,,https://2c.zol-img.com.cn/product/252_320x240/272/cecUdmFU9ajk.jpg,产品型号	DELL服务器前置小卡底托 电池架,,,2025-04-27 14:31:16
1745735531,九州风神大霜塔,219.0,,,https://2a.zol-img.com.cn/product/92_320x240/440/ce6GBxf7Hv6.jpg,"散热器类型	CPU散热器
散热方式	风冷，热管
适用范围	Intel Socket LGA 2011/1366/115X/775
智能温控	支持智能温控
电源参数	12V,0.2A
输入功率	2.4-3W
产品尺寸	126x136x159mm
产品重量	1109g
风扇尺寸	120×120×26mm
轴承类型	液压轴承（Hydraulic Bearing）
转数描述	900±150至1500±10%RPM
最大风量	60.29CFM
噪音	21.4-32.1dB
热管数量	6个
热管材质	铜
包装清单	散热器本机 x1",,,2025-04-27 14:32:11
1745735609,利民AQUA ELITE 360 WHITE ARGB,309.0,,,https://2c.zol-img.com.cn/product/262_320x240/8/ce9SnLphMis.png,"散热器类型	CPU散热器
散热方式	水冷
发光方式	ARGB
智能温控	支持智能温控
电源参数	12V
产品尺寸	冷排：397*120*27mm
风扇数量	3个
风扇尺寸	120×120×25mm
扇叶数量	9叶
轴承类型	S-FDB
最高转数	1550RPM
转数描述	1550±10%RPM
最大风量	66.17CFM
风压	1.53mmaq
噪音	25.6dB
端子接口	风扇接口：4 pin PWM",,,2025-04-27 14:33:29
1745735692,猫头鹰NH-D15,699.0,,,https://2f.zol-img.com.cn/product/221_320x240/927/ceKPwrSqaXQlg.jpg,"散热器类型	CPU散热器
散热方式	风冷，热管
适用范围	Intel LGA2011（宽形ILM）1156/1155/1150
产品尺寸	165x150x161mm
产品重量	1320g
风扇尺寸	140×150×25（with 120mm安装孔）
扇叶数量	9个
轴承类型	SSO2
最高转数	1500RPM
噪音	24.6dB
热管材质	铜
散热片材质	铝
质保时间	6年
详细内容	本产品为用户提供多达6年免费保修期 针对中国区域（不含港、澳、台）所有购买猫头鹰产品用户，需提供购买证明（包含收据以及发票－带有销售日期、商家讯息）、产品编码方可获得保修服务！进入官网>>",,,2025-04-27 14:34:52
1745735798,酷睿冰尊K8（经典版）,69.0,,,https://2c.zol-img.com.cn/product/198_320x240/672/cevKPAkFonoaI.jpg,"散热器类型	笔记本散热器
散热方式	风冷
适用尺寸	适用于15.6寸及以下笔记本
发光方式	单色光
USB接口	双USB口，共2个
电源参数	5V
产品尺寸	370×300×32mm
其它特点	多角度调节，6档风速，2扇/4扇/6扇三种工作模式
风扇数量	6个
风扇尺寸	70×70×15mm
转数描述	2500RPM
散热片材质	ABS
