标题,参考价,京东价
AMD A6-7400K（盒）,209,
AMD APU系列 A6-7480,210,
AMD A10-9700,329,
AMD APU系列 A8-7680,369,
AMD Ryzen 3 2200G,539,
AMD Ryzen 3 4100,699,
AMD Ryzen 3 3100,779,
AMD Ryzen 3 PRO 3200G,789,
AMD Ryzen Threadripper 1920X,799,
AMD Ryzen 3 3300X,899,
AMD Ryzen 7 2700,899,
AMD Ryzen 5 5500GT,939,
AMD Ryzen 5 4500,939,389
AMD Ryzen 3 3200G,950,779
AMD Ryzen 5 PRO 4650G,999,
AMD Ryzen 5 5600GT,1049,829
AMD Ryzen 5 3500X,1099,429
AMD Ryzen 5 5500,1099,429
AMD Ryzen 5 3600,1199,1239
AMD Ryzen 5 3400G,1210,
AMD Ryzen 5 7500F,1239,919
AMD Ryzen 5 5600,1359,559
AMD Ryzen 7 2700X,1399,
AMD Ryzen 5 5600X,1510,599
AMD Ryzen 5 7600,1549,
AMD Ryzen 5 5600G,1599,779
AMD Ryzen 7 3700X,1729,
AMD Ryzen 5 3600X,1749,498
AMD Ryzen 5 3600XT,1859,
AMD Ryzen 7 7700,1899,969
AMD Ryzen 7 5700X,1999,769
AMD Ryzen 7 PRO 4750G,2099,
AMD Ryzen 5 7600X,2249,1199
AMD Ryzen 7 5800X,2480,1249
AMD Ryzen 7 5700G,2599,959
AMD Ryzen 7 3800X,2599,
AMD Ryzen 7 2700X纪念版,2699,
AMD Ryzen 7 5800X3D,2799,1529
AMD Ryzen 9 5900X,2800,
AMD Ryzen 7 9700X,2849,1859
AMD Ryzen 9 3900X,2939,
AMD Ryzen 7 3800XT,2999,
AMD Ryzen 7 7700X,2999,
AMD Ryzen 7 7800X3D,3099,2499
AMD Ryzen 9 7900,3199,
AMD Ryzen 7 1800X,3319,
AMD Ryzen 9 3900XT,3599,
AMD Ryzen 7 9800X3D,3799,3999
AMD Ryzen 9 7900X,4299,2369
AMD Ryzen 9 7900X3D,4499,
AMD Ryzen Threadripper 2920X,4699,
AMD Ryzen 9 5950X,5270,3699
AMD Ryzen 9 7950X3D,5299,4600
AMD Ryzen 9 7950X,5499,3469
AMD Ryzen 9 3950X,5749,
AMD Ryzen Threadripper 2950X,5999,
AMD Ryzen Threadripper 2970WX,6799,
AMD Ryzen ThreadRipper Pro 3955WX,8379,
AMD Ryzen Threadripper 2990WX,10999,
AMD Ryzen ThreadRipper 3960X,13999,
AMD Ryzen ThreadRipper 3970X,15999,
AMD Ryzen ThreadRipper Pro 3975WX,20079,
AMD Ryzen ThreadRipper 3990X,29999,
AMD Ryzen ThreadRipper Pro 3995WX,40079,32700
AMD Ryzen ThreadRipper Pro 5995WX,49999,31000
