标题,参考价,京东价
Intel 赛扬 G5900,289,
Intel 赛扬 G5905,290,
Intel 赛扬 G4930,339,
Intel 赛扬 G5925,389,
Intel 赛扬 G5920,399,
Intel 奔腾金牌 G6405,430,489
Intel 奔腾金牌 G6400,499,
Intel 奔腾金牌 G5420,509,
Intel 奔腾双核 G4400,538,
Intel 酷睿i3 10105F,560,
Intel 奔腾 G5500,599,
Intel 酷睿i3 10100F,630,899
Intel 奔腾金牌 G7400,679,
Intel 酷睿 i3 14100F,699,699
Intel 酷睿i3 10105,790,699
Intel 酷睿i3 9100F,799,139
Intel 酷睿 i3 12100F,850,549
Intel 酷睿i3 8350K,869,235
Intel 酷睿i5 10400F,880,599
Intel 酷睿i3 10100,899,
Intel 酷睿i3 8100,899,140
Intel 酷睿 i3 13100F,949,
Intel 酷睿 i3 12100,990,849
Intel 酷睿i3 9350KF,999,
Intel 奔腾 G5400,1099,
Intel 酷睿i5 9400F,1119,325
Intel 酷睿i5 11400F,1130,
Intel 酷睿i5 10400,1180,1809
Intel 酷睿 i5 12400F,1210,839
Intel 酷睿i5 10600KF,1230,540
Intel 酷睿 i5 12490F,1280,739
Intel 酷睿i5 9600KF,1299,
Intel 酷睿i3 9100,1299,
Intel 酷睿i5 11400,1359,
Intel 酷睿i5 9400,1399,519
Intel 酷睿i5 10500,1449,748
Intel 酷睿 i5 12400,1480,1129
Intel 酷睿 i5 14490F,1499,1149
Intel 酷睿 i5 13490F,1599,799
Intel 酷睿i5 8500T,1599,
Intel 酷睿i5 9600K,1649,
Intel 酷睿i5 8400,1689,339
Intel 酷睿 i5 13400F,1699,999
Intel 酷睿i5 11600KF,1699,
Intel 酷睿i5 11500,1799,
Intel 酷睿 i5 13400,1799,999
Intel 酷睿 i5 12600KF,1830,987
Intel 酷睿i5 9500,1849,
Intel 酷睿i5 10600K,1849,
Intel 酷睿i7 10700F,1890,
Intel 酷睿 i5 12600K,1930,1449
Intel 酷睿i5 11600K,1949,
Intel 酷睿i5 8600K,1999,
Intel 酷睿i5 7500,1999,
Intel 酷睿i5 11600,2000,
Intel 酷睿i5 8600,2099,
Intel 酷睿i7 10700K 复仇者联盟珍藏版,2150,
Intel 酷睿i7 9700KF,2169,
Intel 酷睿i7 10700KF,2199,
Intel 酷睿i7 10700,2230,2919
Intel 酷睿 i7 12700F,2280,1999
Intel 酷睿 Ultra 5 245KF,2299,1999
Intel 酷睿i7 11700,2300,
Intel 酷睿i7 11700F,2349,
Intel 酷睿i9 9900KF,2399,
Intel 酷睿i7 9700F,2399,789
Intel 酷睿i7 11700K,2430,
Intel 酷睿 i7 12700,2430,2099
Intel 酷睿i7 8086K（限量版）,2439,
Intel 酷睿 Ultra 5 245K,2499,1999
Intel 酷睿i7 9700K,2499,998
Intel 酷睿 i5 14600KF,2499,1363
Intel 酷睿 i5 13600K,2599,1649
Intel 酷睿i7 9700,2599,869
Intel 酷睿 i5 14600K,2599,1699
Intel 酷睿 i5 13600KF,2600,1299
Intel 酷睿i7 10700K,2699,
Intel 酷睿i7 9800X,2699,
Intel 酷睿 i7 12700KF,2730,1418
Intel 酷睿i7 8700K,2799,
Intel 酷睿 i7 12700K,2830,1799
Intel 酷睿i7 8700,2859,679
Intel 酷睿i7 7700,2898,
Intel 酷睿i7 11700KF,2899,
Intel 酷睿i9 10900X,2980,3749
Intel 酷睿 i7 13790F,2999,2299
Intel 酷睿 i7 13700,3049,2999
Intel 酷睿i9 9900K,3049,
Intel 酷睿i9 10900F,3099,
Intel 酷睿 Ultra 7 265K,3199,2399
Intel 酷睿 i7 14700KF,3299,2167
Intel 酷睿 i9 12900F,3389,
Intel 酷睿i9 11900K,3430,
Intel 酷睿i9 9900KS,3499,
Intel 酷睿 i7 14700K,3499,2799
Intel 酷睿i9 11900F,3699,
Intel 酷睿 i7 13700KF,3700,2499
Intel 酷睿i9 11900,3780,
Intel 酷睿i9 10920X,3830,
Intel 酷睿 i9 12900,3880,
Intel 酷睿i9 9820X,3899,
Intel 酷睿 i7 13700K,3900,2408
Intel 酷睿i9 10850K,3999,
Intel 酷睿i7 7820X,3999,
Intel 酷睿i9 10900K 复仇者联盟珍藏版,4199,
Intel 酷睿i9 10900K,4210,
Intel 酷睿 i9 12900KF,4230,
Intel 酷睿i9 7900X,4299,
Intel 酷睿 i9 12900K,4430,3099
Intel 酷睿i9 10940X,4480,
Intel 酷睿 i9 13900F,4599,
Intel 酷睿 Ultra 9 285K,4799,4699
Intel 酷睿 i9 14900KF,4799,3199
Intel 酷睿 i9 13900,4899,
Intel 酷睿i9 10900KF,4899,
Intel 酷睿 i9 14900K,4999,3399
Intel 酷睿 i9 13900KF,5200,2788
Intel 酷睿i9 10980XE,5480,6539
Intel 酷睿 i9 13900K,5500,1988
Intel 酷睿i9 9900X,5599,
Intel 酷睿 i9 12900KS,5630,
Intel 酷睿i9 9940X,5999,
Intel 酷睿 i9 13900KS,5999,
Intel 酷睿i9 11900KF,5999,1749
Intel 酷睿 i9 14900KS,6299,5499
Intel 酷睿i9 9960X,6799,
Intel 酷睿i9 9980XE,8199,
Intel 酷睿i9 9920X,8999,
Intel 酷睿i9 7960X,11899,
