标题,参考价,京东价
小影霸GT 210 PRO 1G D3 疾影,169,139
铭影GT 610 2G D3 刀锋版,169,
昂达GT710典范 1GD3静音版,199,
铭鑫视界风 GT710N-2GBD3 FIGHT版,215,
铭瑄 MS-GT710 重锤II,239,
昂达GT710典范 2GD3静音版,239,
盈通GT710 2G D3 战神版,249,
升技GT 710 2G D3,259,
劲鲨Geforce GTX650 1GB,266,
精粤GT 730 4G D3-A,268,
铭瑄 MS-GT710 重锤II 2G,279,
华硕GT710-SL-1GD5-BRK,279,
小影霸GT730 1G D3,289,
铭瑄 GT 710重锤PLUS 2G,299,
旌宇GF210 1G x1,299,399
欧比亚GT710-1G,299,
小影霸GT 730 GT 730X 2G D3 厉影 LP,309,259
七彩虹GeForce GT710 黄金版-2GD3 V3,319,259
小影霸GT730 1G D5,319,
小影霸GT 730 GT 730X 2G D3 厉影,319,269
翔升GT730 1GD3  战旗 单槽全高,319,
翔升GT730 1GD3 战刀 单槽半高,319,
小影霸GT730 2G D3,329,
小影霸GT 730 PRO 2G D5 厉影,329,319
小影霸GT 730 GT 730X 4G D3 刹影 LP,329,289
小影霸GT 730 PRO 4G D3 刹影,339,309
翔升GT730 2GD3 战刀 单槽半高,339,
翔升GT730 1GD5 战刀 单槽半高,339,
翔升GT730 2GD3  战旗 单槽全高,339,
翔升GT730 1GD5  战旗 单槽全高,339,
昂达GT730K典范2GD3,345,
升技GT 730 2G DDR3,359,359
翔升GT730 2GD5  战旗 单槽全高,359,
翔升GT730 2GD5 战刀 单槽半高,359,
昂达GT73K典范2GD5,375,
小影霸GT730 2G D5,379,
升技GT 730 4G DDR3,379,379
精粤GTX 750 Ti 4G,398,348
铭瑄 MS-GT730 变形金刚II 2G,399,
昂达GT730K典范4GD3,399,
七彩虹GT730K 黄金版-2GD5,399,
精影GTX 750 Ti 2G,418,
艾尔莎GT 710 幻雷者 2G,420,
劲鲨GTX 750Ti,429,390
昂达GT730典范2GD3,430,
丽台WinFast GT 710 2G EC版,449,
劲鲨GTX 750 1G,449,
昂达GT730K典范4GD3-S,449,
梅捷GT 1030 铠龙 2G,459,
小影霸GT 1030 2G D5 厉影,468,469
双敏GeForce GT 1030 速配版 V3,469,
升技GT 1030 2G D4,479,
小影霸GT 1030 4G D4 刹影,498,509
七彩虹GT1030 黄金版 2G,499,
耕升GT 1030 2G D4御风版,499,429
翔升GT 1030 战刀 2G D4,499,
七彩虹GT1010 LP 2GD4,499,4699
升技GT 1030 4G D4,499,
翔升GT 1030 战刀 4G D4,529,
七彩虹GeForce GT1030 黄金版 2G V7,539,
铭鑫GT1030N-2GBD5 狂飙LP版,542,415
华硕GT 1030-SL-2G-BRK,549,299
华硕PH-GT 1030-O2G,549,
铭瑄 GT 1030 变形金刚2G,559,459
技嘉GT 1030 Low Profile 2G,559,
七彩虹GT1030 黄金版 2GV6 D4,579,529
铭鑫GT1030N-4GBD4 狂飙LP版,584,445
精粤GTX 1060 3G,598,
丽台WinFast GT 730 1G,599,
祺祥GTX1060 3GB,599,
华硕PH-GT 1030-O2GD4,599,
微星GeForce GT 1030 AERO ITX 2G OCV1,599,
华硕PH-GT 1030-2G,599,
昂达GT1030典范2GD5-V,599,
旌宇GT730 4HDMI,649,489
劲鲨GTX1060 3GB,649,806
盈通GT1030-2G D4 极速版,649,
欧比亚GT730 4H LP,649,
技嘉GV-N1030D5-2GL半高刀卡,649,
盈通GT1030-4G D4 极速版,649,
铭鑫视界风GTX 750TI-4GBD5 辉煌版,650,
华硕GT710-4H-SL-2GD5,650,
技嘉GT 1030 OC 2G,689,
昂达GT1030典范4GD4-V,699,
祺祥GTX1060 5GB,699,
盈通GT1030-4G D4 LP,729,499
精粤GTX 1060 6G,748,793
铭瑄 GTX1630 变形金刚 4G,749,
祺祥GTX1060 6GB,769,
梅捷GTX 1050Ti炎龙 4G,769,
艾尔莎GTX 1050TI 幻影者 4G,770,
劲鲨GTX1060 6GB,779,849
双敏GTX 1050TI SNIPER 4G LP,788,
旌宇GT730 2G x1,799,699
铭瑄 GTX1630 GTX1630 终结者 4G,799,
发行者GTX1660S 6GB精英版,849,
祺祥RTX2060M 6GB,869,
发行者GTX1660S 6GB纯白踏雪,869,
发行者）GTX1660S 6GB惊鸿版,889,
精影GTX 1660 SUPER 6G,898,
盈通GTX 1050Ti-4G D5大地之神,899,
翔升GeForce GTX 1650 战雕 4G D6,899,
发行者GTX1660S 6GB惊鸿炫彩,909,
小影霸GTX 1050 Ti 4G D5 刹影 双风扇,929,919
发行者GTX1660S 6GB至尊版,939,
小影霸GTX 1050 Ti 4G D5 LP 刹影,949,839
PNY GTX 1650 4GB GDDR6掌控者性能版,969,
欧比亚GT750TI-4G,969,
艾尔莎GTX 1650 4G 幻影者,970,
盈通GTX 1050Ti-4G D5极速版,979,
昂达GTX 1050Ti神盾4GD5,989,
七彩虹iGame GTX 1050Ti-4GD5 V2,999,
盈通GTX 1650 4G D6大地之神,999,
盈通GTX 1650-4G D5大地之神,999,
升技GTX 1650 4G D6,999,
小影霸GTX 1650 4G,999,
技嘉GTX 1050Ti OC 4G,1049,
华硕DUAL-GTX 1650-O4G,1049,
铭鑫视界风 GTX1050TI-4GBD5 辉煌版,1050,729
翔升GeForce GTX 1650 SUPER 战雕 4G D6,1069,
翔升GeForce GTX 1650 SUPER 天网·双 4G D6,1089,
微星GeForce GTX 1050Ti GAMING X 4G,1099,
耕升GTX 1050Ti追风版V3,1099,
索泰GeForce GTX 1650-4GD6 X GAMING OC PRO,1099,
Inno3D GTX 1050Ti黑金至尊版,1099,
耕升GTX 1650 追风,1100,
七彩虹战斧 GeForce GTX 1650 4GD6豪华版,1149,
技嘉GeForce GTX 1650 D6 OC Low Profile 4G,1149,
微星GeForce GTX 1650 VENTUS XS 4G OC,1149,
发行者RTX2060S  8GB精英版,1159,
发行者RTX2060S  8GB涡轮版,1179,
七彩虹GeForce GTX 1630 灵动鲨 4GD6,1199,
耕升GeForce GTX 1650 追风 DDR6,1199,
七彩虹iGame GeForce GTX 1650 Ultra 4G,1199,
技嘉GTX 1650 GAMING OC 4G,1199,
七彩虹iGame GeForce GTX 1650 AD Special OC 4GD6,1199,
七彩虹iGame GeForce GTX 1650 Ultra OC 4GD6,1199,
雷索GTX 1660 Super 6G 天将,1199,1379
微星GeForce GTX 1050Ti 飙风 4GV1,1199,
华硕TUF-GTX1650-O4GD6-GAMING,1199,
发行者RTX2060S  8GB惊鸿版,1199,
升技GTX 1660 TI 6G D6,1199,
M-ONE（祺祥）RTX 3060M 6GB,1209,
技嘉GTX 1650 D6 EAGLE OC 4,1249,
万丽GTX 1060 Gallardo OC,1249,
发行者RTX2060S  8GB至尊版,1259,
七彩虹战斧 GeForce GTX 1630 4GD6,1269,
技嘉GeForce GTX 1650 SUPER OC 4G,1269,
华硕GTX 1650-O4G-LP-BRK,1299,
微星GeForce GTX 1650 GAMING X 4G,1299,
技嘉GeForce GTX 1650 SUPER WF2OC,1299,
七彩虹iGame GeForce GTX 1650 豪华版 Ultra 4GD6,1299,
索泰GeForce GTX 1650 SUPER-4GD6 X GAMING OC PRO,1299,
PNY GeForce RTX 3050 6GB VERTO,1299,
丽台GeForce GTX 1650 ES OC,1299,
磐镭GTX 1660 SUPER 6G,1299,
索泰GeForce GTX 1650-4GD5 毁灭者 PA,1299,
七彩虹iGame GeForce GTX 1650 SUPER AD Special OC 4G,1349,
华硕GTX 1650 GDDR6 Phoenix,1351,
艾尔莎GTX 1660 幻雷者 6G,1380,
精粤RTX 3050 OEM 8G,1393,
昂达GTX 1660 典范6GD5,1399,
七彩虹GeForce RTX 3050 灵动 6GB,1399,
七彩虹GeForce GTX 1650 灵动鲨 4G,1399,
铭瑄 GeForce GTX 1650 终结者 4GD6,1399,
华硕DUAL-GTX1650-O4GD6-MINI,1399,1359
华硕PH-GTX1650-O4GD6-P,1399,
七彩虹Colorful GeForce GTX 1650 SUPER Gaming GT 4G,1419,
发行者RTX3060 12GB 精英版,1429,
M-ONE（祺祥）RTX 3060M 12GB,1459,
发行者RTX3060 12GB 青鸾,1459,
华硕PH-GTX 1650-O4G,1469,
华硕CERBERUS-GTX 1050Ti-A4G,1499,
昂达GTX 1660 神盾6GD5,1499,
微星魔龙 GeForce GTX 1650 SUPER GAMING X 4GD6,1499,
七彩虹战斧 GeForce RTX 3050 DUO 6GB,1499,1439
耕升GeForce RTX 3050 6GB 听风,1499,
技嘉GeForce RTX 3050 EAGLE OC 6G,1499,1399
影驰GeForce RTX 3050黑将 OC,1499,
ASL翔升Geforce RTX3050 6GD6 天网,1499,1499
七彩虹GTX 1050Ti 灵动鲨 4G V3,1499,
索泰GeForce GTX 1650-4GD6 毁灭者 OC,1499,
发行者RTX3060 12GB 至尊版,1499,
索泰RTX 3050 GeForce RTX 3050-6GB 毁灭者 OC HA,1499,
小影霸GTX 1660 6G,1499,
旌宇GTX 750 4HDMI,1549,
技嘉GTX 1050Ti D5 4G,1549,
翔升GeForce GTX 1660 SUPER 战神 6G D6,1549,
技嘉GeForce RTX 3050 WINDFORCE OC 6G,1549,
发行者RTX3060 12GB 青鸾II,1559,
雷索RTX 2060 6G天神,1599,1499
发行者RTX3070 8GB精英版,1599,
盈通GTX 1660 Super-6G D6 大地之神,1599,
耕升GeForce RTX 3050 6GB 追风,1599,
技嘉GeForce RTX 3050 OC Low Profile 6G,1599,1599
AX电竞叛客GeForce GTX 1650 X2W D6,1599,
索泰GeForce RTX 3050-8GD6 毁灭者 PRO HA,1599,
华硕TUF-GTX1650-O4GD6-P-GAMING,1599,1349
耕升RTX 3050追风-8G,1649,1569
索泰GeForce GTX 1660 SUPER X-GAMING OC PRO,1649,
索泰GeForce GTX 1660-6GD5 X-GAMING OC PRO,1649,
