品牌,商品名称,商品编号,价格,店铺名称
品牌： 讯景（XFX）,商品名称：讯景RX 6750 GRE,商品编号：100070862384,￥2599.00,XFX讯景京东自营旗舰店
品牌： 七彩虹（Colorful）,商品名称：七彩虹RTX显卡,商品编号：100187661752,￥15999.00,七彩虹京东自营旗舰店
品牌： 技嘉（GIGABYTE）,商品名称：技嘉GV-N4060GAMING OC-8GD,商品编号：100056046116,￥2749.00,技嘉京东自营官方旗舰店
品牌： 技嘉（GIGABYTE）,商品名称：技嘉GV-N4060EAGLE OC-8GD,商品编号：100091929767,￥2649.00,技嘉京东自营官方旗舰店
品牌： 技嘉（GIGABYTE）,商品名称：技嘉GV-N507TGAMING OC-16GD,商品编号：100188447084,￥8999.00,技嘉京东自营官方旗舰店
品牌： 技嘉（GIGABYTE）,商品名称：技嘉GV-N3060GAMING,商品编号：100022510770,￥,技嘉京东自营官方旗舰店
品牌： 讯景（XFX）,商品名称：讯景RX9070XT,商品编号：100183080274,￥,XFX讯景京东自营旗舰店
品牌： 七彩虹（Colorful）,商品名称：七彩虹RTX显卡,商品编号：100152862177,￥9999.00,七彩虹京东自营旗舰店
品牌： 技嘉（GIGABYTE）,商品名称：技嘉GV-N407SGAMING OC-12GD,商品编号：100082412965,￥5699.00,技嘉京东自营官方旗舰店
品牌： 华硕（ASUS）,商品名称：华硕RX 6750 GRE,商品编号：100178361092,￥2999.00,华硕京东自营旗舰店
品牌： 昂达（ONDA）,商品名称：昂达R5 220典范2GD3 V5,商品编号：100043914118,￥,昂达（ONDA）京东自营旗舰店
品牌： 盈通（yeston）,商品名称：盈通RX 7800XT-16GD6 樱瞳花嫁,商品编号：100066941053,￥4299.00,盈通京东自营旗舰店
品牌： 瀚铠（VASTARMOR）,商品名称：瀚铠RX 7700 XT,商品编号：100117926112,￥,瀚铠（VASTARMOR）显卡京东自营旗舰店
品牌： 七彩虹（Colorful）,商品名称：七彩虹RTX显卡,商品编号：100187661740,￥15999.00,七彩虹京东自营旗舰店
品牌： 技嘉（GIGABYTE）,商品名称：技嘉GV-N5080GAMING OC-16GD,商品编号：100180790616,￥11499.00,技嘉京东自营官方旗舰店
品牌： 华硕（ASUS）,商品名称：华硕RTX 4060 Ti,商品编号：100059893460,￥,华硕京东自营旗舰店
品牌： 华硕（ASUS）,商品名称：华硕RTX 4060 Ti,商品编号：100055600050,￥,华硕京东自营旗舰店
品牌： 瀚铠（VASTARMOR）,商品名称：瀚铠RX 7700 XT,商品编号：100092285381,￥3249.00,瀚铠（VASTARMOR）显卡京东自营旗舰店
品牌： 技嘉（GIGABYTE）,商品名称：技嘉GV-R78XTGAMING OC-16GD,商品编号：100067093969,￥,技嘉京东自营官方旗舰店
品牌： 讯景（XFX）,商品名称：讯景RX9070XT,商品编号：100145837565,￥6199.00,XFX讯景京东自营旗舰店
品牌： 撼讯,商品名称：撼讯RX6750GRE竞技,商品编号：100073736024,￥,撼讯京东自营旗舰店
品牌： 技嘉（GIGABYTE）,商品名称：技嘉GV-N3060GAMING OC-8GD,商品编号：100050745504,￥,技嘉京东自营官方旗舰店
品牌： 华硕（ASUS）,商品名称：华硕RTX 5070 Ti,商品编号：100187310368,￥8899.00,华硕京东自营旗舰店
品牌： 盈通（yeston）,商品名称：盈通RX6500XT-4GD6 大地之神 GA,商品编号：100017905037,￥1399.00,盈通京东自营旗舰店
品牌： 讯景（XFX）,商品名称：讯景RX 7900 XTX,商品编号：100064725990,￥,XFX讯景京东自营旗舰店
品牌： 蓝戟,商品名称：蓝戟B580,商品编号：100161128196,￥2419.00,蓝戟京东自营旗舰店
