标题,参考价,京东价,京东链接,产品图片,产品参数
劲鲨B75 B75A主板,128,218.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10120595321201.html,https://2d.zol-img.com.cn/product/269_400x300/583/ceWEMteMhAdUM.jpg,"音频芯片：Realtek ALC662 HD 5.1
主芯片组：暂无数据
内存类型：2×DDR3 DIMM
最大内存容量：16GB
主板板型：Mini-ITX板型
外形尺寸：17*17cm
电源插口：24Pin ATX+4Pin ATX 12V
供电模式：暂无数据"
铭瑄 MS-B85-BTC,129,,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10120595321201.html,https://2f.zol-img.com.cn/product/221_400x300/605/ceJin4oKK8JCs.jpg,"主芯片组：Intel B85
音频芯片：集成6声道音效芯片
内存类型：4×DDR3 DIMM
最大内存容量：暂无数据
主板板型：ATX板型
外形尺寸：暂无数据
电源插口：一个8针，一个24针电源接口
供电模式：6+1相"
铭速P45至强版,175,,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10120595321201.html,https://2b.zol-img.com.cn/product/215_400x300/249/cegIYVr6BwK9I.jpg,"主芯片组：Intel P45
音频芯片：集成音效芯片
内存类型：2×DDR3 DIMM
最大内存容量：暂无数据
主板板型：Micro ATX板型
外形尺寸：24.0×16.8cm
电源插口：一个4针，一个24针电源接口
供电模式：暂无数据"
劲鲨H61M-K,182,392.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10093640525061.html,https://2a.zol-img.com.cn/product/268_400x300/680/cem3piyBBodk.jpg,"主芯片组：Intel PCH H61
音频芯片：ALC897 5.1 声卡芯片
内存类型：2×DDR3 DIMM
最大内存容量：16GB
主板板型：Micro ATX板型
外形尺寸：22.3*17cm
电源插口：一个8针，一个24针电源接口
供电模式：暂无数据"
劲鲨B75 B75M-K主板,182,,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10093640525061.html,https://2e.zol-img.com.cn/product/269_400x300/590/ceh94neao3oc.jpg,"主芯片组：Intel PCH B75
音频芯片：ALC897 7.1 Channel Audio Chip
内存类型：2×DDR3 DIMM
最大内存容量：32GB
主板板型：Micro ATX板型
外形尺寸：22.3*17cm
电源插口：一个8针，一个24针电源接口
供电模式：暂无数据"
铭速G41侠客版,185,174.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/11935197900.html,https://2e.zol-img.com.cn/product/224_400x300/764/cel9FzuCdvcZA.jpg,"主芯片组：Intel G41
音频芯片：集成音效芯片
内存类型：2×DDR3 DIMM
最大内存容量：8GB
主板板型：Micro ATX板型
外形尺寸：21.2×17.0cm
电源插口：一个4针，一个24针电源接口
供电模式：暂无数据"
华南金牌H81M-VH,188,180.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10093457071230.html,https://2e.zol-img.com.cn/product/268_400x300/630/ceTWNS47726.jpg,"主芯片组：Intel H81
音频芯片：暂无数据
内存类型：2×DDR3 DIMM
最大内存容量：16GB
主板板型：Micro ATX板型
外形尺寸：19.0×17.0cm
电源插口：一个4针，一个24针电源接口
供电模式：3相"
铭速A78游戏版,189,,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10093457071230.html,https://2e.zol-img.com.cn/product/215_400x300/422/ceyoH8PlV9vKs.jpg,"主芯片组：AMD A78
音频芯片：集成音效芯片
内存类型：2×DDR3 DIMM
最大内存容量：8GB
主板板型：Micro ATX板型
外形尺寸：21.2×17.0cm
电源插口：一个4针，一个20针电源接口
供电模式：暂无数据"
铭速A55终幻版,189,168.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/11845960820.html,https://2f.zol-img.com.cn/product/224_400x300/13/cewjrAn6kX37M.jpg,"主芯片组：AMD A55
音频芯片：集成音效芯片
内存类型：2×DDR3 DIMM
最大内存容量：暂无数据
主板板型：Micro ATX板型
外形尺寸：19.0×17.0cm
电源插口：一个4针，一个24针电源接口
供电模式：暂无数据"
映泰H110MDE,195,,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/11845960820.html,https://2c.zol-img.com.cn/product/199_400x300/624/cesJzC98a0QxU.jpg,"主芯片组：Intel H110
音频芯片：集成7.1声道音效芯片
内存类型：2×DDR4 DIMM
最大内存容量：16GB
主板板型：Micro ATX板型
外形尺寸：21.5×17cm
电源插口：一个4针，一个24针电源接口
供电模式：四相供电"
