标题,参考价,京东价
金百达黑刃 DDR5 6800 64GB(32GBx2),779,779
金士顿叛逆者Renegade 32GB(16G*2) DDR5 6000 灯条RGB白,479,959
金百达银爵 16GB（2×8GB）DDR4 3200,359,149
金士顿骇客神条FURY 16GB DDR4 3200（HX432C18FB/16-SP）,470,219
三星16GB（2×8GB）DDR4 3200,535,239
芝奇幻锋戟 32GB（2×16GB）DDR5 6000,899,787
海盗船复仇者LPX 8GB DDR4 3200,260,149
金百达银爵 8G DDR4 3600,145,99
七彩虹8GB DDR4 3200 8GB,105,89
光威天策 8GB DDR4 3200,209,94
金士顿FURY Beast 32GB DDR4 3200（KF432C16BB/32）,1079,399
光威龙武系列 DDR5 6000 32GB(16GB×2),689,649
金百达银爵 32GB（2×16GB）DDR4 3600,519,339
金士顿FURY Beast 32GB DDR5 6000（KF560C40BB-32）,759,
金士顿骇客神条FURY 32GB DDR4 3200（HX432C16FB3K2/32）,1299,399
金百达银爵 16GB（2×8GB）DDR5 6000,399,359
金士顿FURY Beast 16GB DDR5 5600 白色款,389,369
阿斯加特吹雪 DDR5 6400 64GB（2×32GB）,839,1549
金士顿FURY Beast 64GB（2×32GB）DDR5 6000（KF560C40BBK2-64）,1499,
芝奇皇家戟 256GB（8×32GB）DDR4 3600（F4-3600C18Q2-256GTRS）,13999,
金士顿骇客神条FURY 8GB DDR3 1866,439,145
金百达黑刃 DDR5 6000 64GB(32GBx2),1299,1259
金士顿叛逆者Renegade 16GB DDR5 6000 灯条RGB白,479,
阿斯加特瓦尔基里女武神二代 DDR5 6000 C30 32GB（2×16GB）,779,739
英睿达16GB DDR5 5600 笔记本内存条,300,299
七彩虹战斧 16GB DDR5 5200,299,
金士顿16GB DDR4 3200（KVR32N22D8/16）,639,199
金士顿8GB DDR3 1600（KVR16N11/8）,319,219
Acer宏碁 Vesta II 炫光星舰 DDR5 6000 C30  32GB(16GB×2),765,799
金士顿4GB DDR4 2666（KVR21N15S8/4）,155,119
