标题,参考价,京东价
金士顿骇客神条FURY 16GB DDR4 3200（HX432C18FB/16-SP）,￥470,¥219
海盗船复仇者LPX 8GB DDR4 3200,￥260,¥149
七彩虹8GB DDR4 3200 8GB,￥105,¥89
金百达银爵 8G DDR4 3600,￥145,¥99
金士顿FURY Beast 32GB DDR4 3200（KF432C16BB/32）,￥1079,¥399
光威天策 8GB DDR4 3200,￥209,¥94
金士顿4GB DDR4 2666（KVR21N15S8/4）,￥155,¥119
金士顿16GB DDR4 3200（KVR32N22D8/16）,￥639,¥199
海盗船复仇者LPX 16GB DDR4 3600（CM4X16GC3600C18K2D-CN）,￥560,
金士顿骇客神条FURY 8GB DDR4 2400（HX424C15FB/8）,￥329,
七彩虹16GB DDR4 3200 8GB,￥179,¥145
威刚万紫千红 8GB DDR4 3200,￥299,¥98
金百达黑爵 8GB DDR4 3200,￥209,¥95
光威悍将 16GB DDR4 2666,￥439,¥139
金士顿16GB DDR4 3200（KVR32S22D8/16）,￥455,¥199
金士顿8GB DDR4 2666（KVR26N19S8/8）,￥319,¥119
七彩虹战斧 8GB DDR4 3200 新马甲条,￥239,¥99
金百达黑爵 16GB DDR4 3200,￥429,¥149
光威战将 8GB DDR4 3200（笔记本）,￥179,¥78
金士顿16GB DDR4 2666（KVR26N19D8/16）,￥609,
海盗船复仇者LPX 32GB DDR4 3200（CM4X32GC3200C16K2E-CN）,￥910,¥149
阿斯加特金伦加 TUF联名款 8GB DDR4 3200,￥209,
金士顿低电压版 4GB DDR4 2400（KVR24N17S8/4）,￥189,
威刚XPG威龙 16GB DDR4 3200,￥609,¥319
英睿达16GB DDR4 3200（CT16G4SFD832A）,￥569,¥194
阿斯加特金伦加 TUF联名款 8GB DDR4 3600,￥209,
海盗船复仇者LPX 16GB DDR4 4000,￥750,¥299
海盗船复仇者LPX 16GB DDR4 3200,￥490,¥209
金士顿16GB DDR4 2400 （KVR24N17S8/4）,￥459,
金士顿FURY Beast 8GB DDR4 2666（HX426C16FB3/8）,￥239,¥149
阿斯加特金伦加 TUF联名款 32GB DDR4 3200,￥399,
威刚XPG Z1 8GB DDR4 3200,￥295,¥95
金士顿8GB DDR4 3200（KVR32N22S8/8）,￥339,
海盗船复仇者RGB PRO 16GB DDR4 3200（CM4X16GC3200C16W2E-CN）,￥580,¥289
金士顿32GB DDR4 3200（KVR32N22D8/32）,￥1199,¥379
威刚万紫千红 16GB DDR4 3200,￥589,¥178
金士顿骇客神条FURY 16GB DDR4 2666（HX426C16FB/16）,￥619,¥259
金士顿HyperX Savage 8GB DDR4 2400（HX424C12SB/8）,￥235,¥149
七彩虹战斧 8GB DDR4 2666,￥189,¥97
金士顿骇客神条FURY 32GB DDR4 3200（HX432C16FB3/32）,￥900,
金泰克磐虎 8GB DDR4 2400,￥259,¥109
金士顿低电压版 8GB DDR4 2400（KVR24N17S8/8）,￥299,
英睿达8GB DDR4 3200（CT8G4DFS832A）,￥309,¥109
金百达银爵 16GB DDR4 3600,￥269,¥179
光威天策 32GB DDR4 3200,￥829,¥258
七彩虹战斧 8GB DDR4 4000,￥139,
金士顿4GB DDR4 2133（KVR21S15S8/4）,￥219,¥179
金士顿HyperX Predator  16GB DDR4 3200,￥699,
芝奇幻光戟 16GB DDR4 3200（F4-3200C16S-16GTZR）,￥589,¥349
金士顿骇客神条FURY 8GB DDR4 2666 RGB（HX426C16FB3A/8）,￥369,
金士顿16GB DDR4 2666（KVR21N15S8/4）,￥435,
海盗船复仇者LPX 8GB DDR4 3600（CM4X8GD3600C18K2D-CN）,￥275,¥159
金士顿HyperX Predator  16GB DDR4 3000（HX430C15PB3/16）,￥480,
金士顿FURY Impact 16GB DDR4 2666（HX426S15IB2/16）,￥529,¥249
金士顿8GB DDR4 2666（KVR21N15S8/4）,￥215,
金士顿骇客神条FURY 16GB DDR4 2400（HX424C15FB/16）,￥619,
金士顿骇客神条FURY 16GB DDR4 3600,￥719,¥229
英睿达Ballistix铂胜游戏 8GB DDR4 3600（BL8G36C16U4W）,￥289,
金士顿骇客神条FURY 16GB DDR4 3200 RGB（HX432C16FB3A/16）,￥595,¥279
海盗船复仇者RGB PRO 16GB DDR4 3600（CM4X16GC3600C18W2D-CN）,￥610,¥299
金士顿FURY Impact 8GB DDR4 3200（HX432S20IB2/8）,￥295,¥129
海盗船复仇者LPX 32GB DDR4 3600,￥1299,¥439
金士顿骇客神条FURY 8GB DDR4 2666（HX426C15FB/8）,￥235,¥149
美商海盗船复仇者LPX 银色 8GB DDR4 3200,￥229,
金士顿骇客神条FURY 8GB DDR4 2133（HX421C14FB/8）,￥399,
光威悍将 4GB DDR4 2666,￥119,
金士顿FURY Impact 32GB DDR4 3200（HX432S20IB/32）,￥1409,¥419
三星8GB DDR4 2666,￥259,¥159
三星8GB DDR4 2400,￥319,
威刚万紫千红 16GB DDR4 2666,￥599,¥189
金士顿FURY Beast 8GB DDR4 2666（KF426C16BB/8）,￥259,
金士顿16GB DDR4 2666（KVR26S19D8/16）,￥519,
金士顿8GB DDR4 2666（KVR26S19S8/8）,￥240,¥109
金士顿32GB DDR4 3200（KVR32S22D8/32）,￥1249,¥389
联想8GB DDR4 3200（台式机）,￥229,¥99
芝奇Ripjaws V 32GB DDR4 3200,￥999,
三星16GB DDR4 2133,￥939,
雷克沙8GB DDR4 3200（台式机）,￥215,
英睿达镁光8GB DDR4 2400,￥239,¥88
金士顿8GB DDR4 2133（KVR21N15/8）,￥359,¥134
英睿达16GB DDR4 3200（CT16G4DFD832A）,￥599,¥199
七彩虹战斧 16GB DDR4 2666,￥299,
金士顿骇客神条FURY 16GB DDR4 3600 RGB（HX436C17FB3A/16）,￥630,¥369
金士顿HyperX Predator  8GB DDR4 3200,￥499,
金泰克8GB DDR4 2666,￥245,¥129
金士顿FURY Beast 8GB DDR4 3200（HX432C18FB2/8-SP）,￥270,¥129
金士顿8GB DDR4 3200（KVR32S22S8/8）,￥339,¥119
金士顿低电压版 16GB DDR4 2400（KVR24N17D8/16）,￥609,
