标题,参考价,京东价,京东链接,产品图片,产品参数
利民Peerless Assassin 120 BLACK,269,212.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100018180372.html,https://2f.zol-img.com.cn/product/221_320x240/215/cef4IcChpq5g.jpg,"散热器类型	CPU散热器
散热方式	风冷，热管
智能温控	支持智能温控
产品尺寸	125×135×157mm
产品重量	750g
风扇数量	2个
扇叶数量	9叶
轴承类型	S-FDB Bearing
最高转数	1550RPM
转数描述	±10RPM
最大风量	66.17CFM
风压	1.53mmaq
噪音	60dB
热管数量	6个
散热片材质	铝
其它参数	AGHP逆重力热管"
九州风神玄冰400,89,66.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10054291480462.html,https://2c.zol-img.com.cn/product/220_320x240/12/ceUSftcGTx9S6.jpg,"散热器类型	CPU散热器
散热方式	风冷，热管
适用范围	Intel LGA 1366/115X/775
智能温控	支持智能温控
电源参数	12V,0.25A
输入功率	3W
产品尺寸	135x76x159mm
产品重量	638g
风扇尺寸	120×120×25mm
轴承类型	液压轴承（Hydraulic Bearing）
转数描述	900±150至1500±10%RPM
最大风量	60.29CFM
噪音	21.4-32.1dB
热管数量	4个
包装清单	散热器本机 x1
保修政策	全国联保，享受三包服务"
利民PA120 SE 青春版,179,145.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100026559702.html,https://2d.zol-img.com.cn/product/221_320x240/379/ceRHvlbMvKWI.jpg,"散热器类型	CPU散热器
散热方式	风冷，热管
适用范围	Intel：LGA 115X/1200/1700 AMD：FM4/AM5
发光方式	无光
产品尺寸	125*135*155mm
产品重量	730g
风扇数量	2个
风扇尺寸	120*120*25mm
轴承类型	S-FDB
最高转数	1550RPM
最大风量	66.17CFM
风压	1.53mmaq
噪音	≤25.6dB
端子接口	4-pin PWM
额定电压	DC 12V 0.2A
热管数量	6个"
利民AX120R SE,89,69.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100014366815.html,https://2f.zol-img.com.cn/product/221_320x240/573/ceSmLo8IIGs6.jpg,"散热器类型	CPU散热器
散热方式	风冷
适用范围	Intel：LGA 115X/1200/1700 AMD：AM4/AM5
发光方式	无光
产品尺寸	125*71*148mm
产品重量	630g
风扇数量	1个
风扇尺寸	120*120*25mm
轴承类型	S-FDB
最高转数	1550RPM
最大风量	66.17CFM
风压	1.53mmaq
噪音	≤25.6dB
端子接口	4-pin PWM
额定功率	DC 12V 0.2A"
超频三红海至尊版,119,,,https://2c.zol-img.com.cn/product/222_320x240/176/ce4gHBmbtFnvo.png,"散热器类型	CPU散热器
散热方式	风冷，散热片
适用范围	INTEL LGA775/1366/115X
电源参数	12V，0.15A
使用寿命	30,000小时
产品尺寸	98x93x124mm
产品重量	660g
风扇尺寸	90×90×25mm
轴承类型	液压轴承（Hydraulic Bearing）
最高转数	2000RPM
转数描述	900至2000±10%RPM
最大风量	38CFM
噪音	12.1-22.8dB
包装清单	散热器本机 x1
保修政策	全国联保，享受三包服务
质保时间	3年"
利民Frozen Magic 360,509,299.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100016170468.html,https://2d.zol-img.com.cn/product/222_320x240/829/ceeh0KiKxXrbw.jpg,"散热器类型	CPU散热器
散热方式	水冷
适用范围	Intel，AMD
发光方式	RGB
电源参数	12V
使用寿命	40000小时
产品尺寸	397×120×27mm
风扇数量	3个
风扇尺寸	120×120×25mm
轴承类型	流体动态轴承（FDB）
转数描述	1500±10%RPM
最大风量	66.17CFM
风压	1.5mmaq
噪音	25.6dB
水冷排类型	360mm冷排
水冷头	72×72×52.5mm"
酷冷至尊冰神B240,369,,,https://2d.zol-img.com.cn/product/221_320x240/293/ceJdjZy1NtL0E.jpg,"散热器类型	CPU散热器
散热方式	水冷
适用范围	Intel LGA 2011-v3/2011/1366/1151/1150/1156/1155/775
电源参数	12V
风扇尺寸	120×120×25mm
轴承类型	Loop Dynamic Bearing(LDB)
转数描述	650-2000±10%RPM
最大风量	66.7±10%CFM
风压	2.34±10%mmaq
噪音	6-30dB
其它参数	风扇寿命：160,000小时
水冷排类型	240mm冷排
水冷头	双腔水冷头设计
水冷排体积	282×119.6×27 mm
水泵	功率：3.96W
包装清单	散热器本机 x1"
