标题,参考价,京东价,京东链接,产品图片,产品参数
爱国者YOGO M2,169,159.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100004999668.html,https://2d.zol-img.com.cn/product/222_320x240/991/ceVDcybPtFWFE.jpg,"机箱类型：游戏机箱
机箱结构：MATX
适用主板：暂无数据
电源设计：暂无数据
扩展插槽：4个
前置接口：USB3.0接口 x1 USB2.0接口 x2
机箱材质：SPCC（轧碳钢薄板及带）
板材厚度：0.6mm"
Tt 启航者S3,119,,,https://2d.zol-img.com.cn/product/221_320x240/245/ceCEEBLgIo5pA.jpg,"机箱类型：台式机箱（mini）
机箱结构：暂无数据
适用主板：MATX板型，ITX板型
电源设计：暂无数据
扩展插槽：5个
前置接口：USB3.0接口 x1 USB2.0接口 x1
机箱材质：钢板机身，工程塑料ABS
板材厚度：0.45mm"
先马平头哥M3,239,,,https://2a.zol-img.com.cn/product/221_320x240/594/ceEtUF3HGZsOk.jpg,"机箱类型：台式机箱（mini）
机箱结构：MATX
适用主板：MATX板型，ITX板型
电源设计：暂无数据
扩展插槽：4个
前置接口：USB3.0接口 x1 USB2.0接口 x2
机箱材质：钢材
板材厚度：暂无数据"
先马平头哥M1电竞版,179,,,https://2d.zol-img.com.cn/product/221_320x240/597/ceGEDiTaXysGw.jpg,"机箱类型：台式机箱（mini）
机箱结构：MATX
适用主板：MATX板型，MINI-STX板型，MINI-ITX板....>>
电源设计：暂无数据
扩展插槽：4个
前置接口：USB3.0接口 x1 USB2.0接口 x2 麦克....>>
机箱材质：钢材
板材厚度：暂无数据"
先马平头哥M1商务版,169,449.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/53447230484.html,https://2c.zol-img.com.cn/product/221_320x240/596/ceRjrYxoFRbT6.jpg,"机箱类型：台式机箱（mini）
机箱结构：MATX
适用主板：MATX板型，ITX板型
电源设计：暂无数据
扩展插槽：4个
前置接口：USB3.0接口 x1 USB2.0接口 x2
机箱材质：钢材
板材厚度：暂无数据"
先马平头哥U6,259,,,https://2b.zol-img.com.cn/product/221_320x240/613/ce3qOXSbOyR0o.jpg,"机箱类型：台式机箱（mini）
机箱结构：MATX
适用主板：MATX板型，ITX板型
电源设计：暂无数据
扩展插槽：4个
前置接口：USB3.0接口 x1 USB2.0接口 x2....>>
机箱材质：SPCC（轧碳钢薄板及带）
板材厚度：暂无数据"
先马平头哥U2,199,,,https://2c.zol-img.com.cn/product/221_320x240/602/ceG2t0oiI0p.jpg,"机箱类型：台式机箱
机箱结构：MATX
适用主板：MATX板型，ITX板型
电源设计：暂无数据
扩展插槽：4个
前置接口：USB3.0接口 x1 USB2.0接口 x2....>>
机箱材质：SPCC（轧碳钢薄板及带）
板材厚度：暂无数据"
先马平头哥 平头哥M2 雪装版,121,179.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10054882690483.html,https://2e.zol-img.com.cn/product/259_320x240/804/ceeyAlOkq8Lo.jpg,"机箱类型：台式机箱（mini）
机箱结构：MATX
适用主板：MATX板型，ITX板型
电源设计：暂无数据
扩展插槽：4个
前置接口：USB3.0接口 x1 USB2.0接口 x2
机箱材质：暂无数据
板材厚度：暂无数据"
先马平头哥 平头哥M2 Air,159,139.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100039516529.html,https://2a.zol-img.com.cn/product/259_320x240/788/ceKEdcp47sYLA.jpg,"机箱类型：铝质机箱
机箱结构：MATX
适用主板：M-ATX（紧凑型），MINI-ITX（迷你型....>>
电源设计：下置电源
扩展插槽：4个
前置接口：USB3.0 x2，USB Type-C x1
机箱材质：暂无数据
板材厚度：暂无数据"
先马平头哥 平头哥M2 Air 雪装版,179,149.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100039516367.html,https://2f.zol-img.com.cn/product/259_320x240/793/ce6VHf7Fukf6.jpg,"机箱类型：铝质机箱
机箱结构：MATX
适用主板：M-ATX（紧凑型），MINI-ITX（迷你型....>>
电源设计：下置电源
扩展插槽：4个
前置接口：USB3.0 x2，USB Type-C x1
机箱材质：暂无数据
板材厚度：暂无数据"
先马平头哥M2,129,109.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100025663574.html,https://2d.zol-img.com.cn/product/221_320x240/615/ce3irrIqJ3WkU.jpg,"机箱类型：台式机箱（mini）
机箱结构：MATX
适用主板：MATX板型，ITX板型
电源设计：暂无数据
扩展插槽：4个
前置接口：USB3.0接口 x1 USB2.0接口 x2
机箱材质：暂无数据
板材厚度：暂无数据"
先马平头哥M7,199,149.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100003442113.html,https://2b.zol-img.com.cn/product/221_320x240/607/ceCtKnhBDLVKs.jpg,"机箱类型：台式机箱（mini）
机箱结构：MATX
适用主板：MATX板型，ITX板型
电源设计：暂无数据
扩展插槽：4个
前置接口：USB2.0接口 x2 USB3.0接口 x1....>>
机箱材质：SPCC（轧碳钢薄板及带）
板材厚度：暂无数据"
先马平头哥U1,219,,,https://2d.zol-img.com.cn/product/221_320x240/603/cegdZS4MmzCWY.jpg,"机箱类型：台式机箱
机箱结构：暂无数据
适用主板：MATX板型，ITX板型
电源设计：暂无数据
扩展插槽：4个
前置接口：USB3.0接口 x1 USB2.0接口 x2....>>
机箱材质：SPCC（轧碳钢薄板及带）
板材厚度：0.6mm"
先马黑洞,299,279.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/1842778.html,https://2e.zol-img.com.cn/product/222_320x240/244/ceFQs5xrrE.jpg,"机箱类型：游戏机箱
机箱结构：ATX
适用主板：ATX板型，MATX板型
电源设计：暂无数据
扩展插槽：7个
前置接口：USB3.0接口 x2 USB2.0接口 x2
机箱材质：钢板全黑化
板材厚度：0.6mm"
长城商逸R40,119,109.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100009745716.html,https://2a.zol-img.com.cn/product/225_320x240/910/cezwWfoayQ3gs.jpg,"机箱类型：台式机箱
机箱结构：ATX
适用主板：ATX板型，MATX板型，ITX板型
电源设计：暂无数据
前置接口：USB3.0接口 x1 USB2.0接口 x2
扩展插槽：暂无数据
机箱材质：SPCC（轧碳钢薄板及带）
板材厚度：0.6mm"
乔思伯U3,359,,,https://2a.zol-img.com.cn/product/222_320x240/222/cefDZhVmGWME.jpg,"机箱类型：台式机箱（mini）
机箱结构：MATX
适用主板：MATX板型，ITX板型
电源设计：暂无数据
前置接口：USB3.0接口 x2
扩展插槽：暂无数据
机箱材质：铝合金
板材厚度：1.5mm"
酷冷至尊MB511,299,359.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/37992254950.html,https://2a.zol-img.com.cn/product/221_320x240/112/ceqT0pGooPBVg.jpg,"机箱类型：台式机箱（中塔）
机箱结构：ATX
适用主板：ATX , Micro-ATX, Mini-ITX
电源设计：暂无数据
前置接口：USB 3.0 x2
扩展插槽：暂无数据
机箱材质：钢板、塑料、钢化玻璃
板材厚度：0.6（部分0.5）mm"
先马朱雀,229,,,https://2e.zol-img.com.cn/product/225_320x240/32/cepP1Hqsuf8bM.jpg,"机箱类型：台式机箱
机箱结构：暂无数据
适用主板：ATX板型，MATX板型，ITX板型
电源设计：暂无数据
扩展插槽：7个
前置接口：USB3.0接口 x1 USB2.0接口 x2....>>
机箱材质：SPCC（轧碳钢薄板及带）
板材厚度：0.6mm"
安钛克P101,399,,,https://2d.zol-img.com.cn/product/225_320x240/347/ceHL2wMjtS0UY.png,"机箱类型：台式机箱（中塔）
机箱结构：ATX
适用主板：ATX板型，MATX板型，ITX板型，EATX板....>>
电源设计：暂无数据
扩展插槽：8个
前置接口：USB3.0接口 x2 USB2.0接口 x2
机箱材质：SPCC（轧碳钢薄板及带）
板材厚度：0.8mm"
爱国者A15,139,109.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100006587871.html,https://2b.zol-img.com.cn/product/220_320x240/755/ceq6Qt8OXJFSY.jpg,"机箱类型：台式机箱
机箱结构：暂无数据
适用主板：ATX板型，MATX板型
电源设计：暂无数据
扩展插槽：7个
前置接口：USB3.0接口 x1 USB2.0接口 x2....>>
机箱材质：SPCC（轧碳钢薄板及带）
板材厚度：0.5mm"
先马趣造,299,,,https://2f.zol-img.com.cn/product/222_320x240/185/cea1fMU6QZR1g.jpg,"机箱类型：台式机箱（mini）
机箱结构：暂无数据
适用主板：MATX板型，ITX板型
电源设计：暂无数据
扩展插槽：4个
前置接口：USB3.0接口 x2
机箱材质：SPCC（轧碳钢薄板及带）
板材厚度：0.7mm"
