标题,参考价,京东价,京东链接,产品图片,产品参数
利民SFX转ATX电源支架,19,22.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100036075482.html,https://2f.zol-img.com.cn/product/253_320x240/707/ce3WSXzazxJ6.jpg,"电源类型：台式机电源
出线类型：非模组化
额定功率：350W
最大功率：暂无数据
主板接口：20+4 pin
硬盘接口：暂无数据
PFC类型：暂无数据
转换效率：暂无数据"
积至权力游戏460WS,49,39.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10042105823818.html,https://2c.zol-img.com.cn/product/259_320x240/972/ce1pDpPzAGfqw.jpg,"电源类型：台式机电源
出线类型：非模组化
额定功率：270W
最大功率：460W
主板接口：20+4 pin
硬盘接口：2个
PFC类型：被动式
转换效率：80％"
积至权力游戏600WS,58,59.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10036736661540.html,https://2c.zol-img.com.cn/product/259_320x240/852/ceuSsFtT3K5ps.jpg,"电源类型：台式机电源
出线类型：全模组电源
额定功率：400W
最大功率：600W
主板接口：20+4 pin
硬盘接口：3个
PFC类型：主动式（功率因数为0.98）
转换效率：80％"
积至权力游戏500WS,59,49.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10109097349658.html,https://2a.zol-img.com.cn/product/271_320x240/286/celTIXQVwW4Ec.jpg,"电源类型：台式机电源
出线类型：非模组化
额定功率：300W
最大功率：500W
主板接口：20+4pin
硬盘接口：2个
PFC类型：非主动式
转换效率：暂无数据"
积至权利游戏460WS,60,43.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/28210134346.html,https://2c.zol-img.com.cn/product/200_320x240/314/ceuotBCiPEP6o.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：460W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：2个
PFC类型：主动式
转换效率：暂无数据"
放牧者速冷王500WS,68,,,https://2f.zol-img.com.cn/product/199_320x240/499/ceEAlpjTli6tA.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：300W
最大功率：500W
主板接口：20+4pin
硬盘接口：2个
PFC类型：被动式
转换效率：80%"
全汉FSP280-40PA,72,,,https://2e.zol-img.com.cn/product/269_320x240/334/ceG5G49GDs7I.jpg,"电源类型：台式机电源
出线类型：暂无数据
额定功率：280W
最大功率：暂无数据
主板接口：暂无数据
硬盘接口：暂无数据
PFC类型：暂无数据
转换效率：暂无数据"
超频三M2-V,75,,,https://2a.zol-img.com.cn/product/197_320x240/996/ceCbxueGF49wc.jpg,"电源类型：台式机电源，小机箱电源
出线类型：非模组电源
额定功率：200W
最大功率：300W
硬盘接口：3个
主板接口：暂无数据
PFC类型：被动式
转换效率：暂无数据"
放牧者速冷王600WS,78,,,https://2d.zol-img.com.cn/product/199_320x240/527/ceTF6xq1HEysY.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：400W
最大功率：650W
主板接口：20+4pin
硬盘接口：2个
PFC类型：被动式
转换效率：80%"
积至权力游戏700WS,79,75.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/44833846177.html,https://2e.zol-img.com.cn/product/259_320x240/872/ceCu5K927p2.jpg,"电源类型：台式机电源
出线类型：全模组电源
额定功率：500W
最大功率：700W
主板接口：20+4 pin
硬盘接口：3个
PFC类型：被动式
转换效率：80％"
大水牛劲强200,79,,,https://2c.zol-img.com.cn/product/214_320x240/200/ceZP4HAlZRCUw.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：200W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：3个
PFC类型：主动式
转换效率：暂无数据"
大水牛X370,79,,,https://2f.zol-img.com.cn/product/168_320x240/225/cevJ9DOJJrgbY.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：270W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：3个
PFC类型：暂无数据
转换效率：暂无数据"
GAMEMAX GM-300AK,85,,,https://2d.zol-img.com.cn/product/219_320x240/95/ceCA1JMnO1UA.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：230W
最大功率：330W
主板接口：20+4pin
硬盘接口：3个
PFC类型：被动式
转换效率：80%"
航嘉HKI100-240NB,86,,,https://2d.zol-img.com.cn/product/253_320x240/169/cer2eyfLf0oc.png,"电源类型：工业电源
出线类型：暂无数据
额定功率：100W
最大功率：暂无数据
主板接口：暂无数据
硬盘接口：暂无数据
转换效率：88%
PFC类型：暂无数据"
大水牛船长400,88,79.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10024832649469.html,https://2e.zol-img.com.cn/product/253_320x240/400/cerYT9iobCQM.jpg,"电源类型：台式机电源
出线类型：暂无数据
额定功率：300W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：3个
PFC类型：暂无数据
转换效率：暂无数据"
放牧者速冷王650WS,88,,,https://2f.zol-img.com.cn/product/199_320x240/571/ceSHlanQwDL2.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：400W
最大功率：650W
硬盘接口：2个
主板接口：暂无数据
PFC类型：被动式
转换效率：80%"
